순위,책제목,저자,출판사
1,유지만 다이어트 레시피,유지만,길벗
2,"첫 여름, 완주",김금희,무제
3,혼모노,성해나,창비
4,청춘의 독서,유시민,웅진지식하우스
5,우리의 낙원에서 만나자,하태완,북로망스
6,이재명 자서전,이재명,아시아
7,단 한 번의 삶,김영하,복복서가
8,안녕이라 그랬어,김애란,문학동네
9,어른의 품격을 채우는 100일 필사 노트,김종원,청림Life
10,소년이 온다,한강,창비
11,어른의 행복은 조용하다,태수,페이지2북스
12,만화로 읽으면 안 어려운 천문학,이즐라,더숲
13,모순,양귀자,쓰다
14,같이 읽자는 고백,김소영,이야기장수
15,"혹시, 돈 얘기해도 될까요?",주언규,필름
16,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성,이투스북
17,왓츠 유어 드림,사이먼 스큅,북파머스
18,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성,이투스북
19,워런 버핏 웨이,로버트 해그스트롬,상상스퀘어
20,미술관에 간 할미,할미,더퀘스트
21,급류,정대건,민음사
22,마침내 특이점이 시작된다,레이 커즈와일,비즈니스북스
23,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,YBM(와이비엠)
24,묘식당의 신박한 가정간편식,이용경(유튜버 묘식당),황금부엉이
